iter	RMSE
0	1.593380655
1	1.567642737
2	1.545473812
3	1.525776968
4	1.507824322
5	1.491227931
6	1.477025061
7	1.464303613
8	1.453887329
9	1.443996562
10	1.435446721
11	1.426951765
12	1.418990954
13	1.412592021
14	1.406377599
15	1.400944757
16	1.395812393
17	1.391921176
18	1.387218013
19	1.383210692
20	1.378737218
21	1.375205361
22	1.37267883
23	1.370555069
24	1.367723779
25	1.365217177
26	1.36327472
27	1.361251249
28	1.359321776
29	1.35645225
30	1.354900107
31	1.352994479
32	1.351418605
33	1.350180649
34	1.348562969
35	1.346688238
36	1.344803722
37	1.343393505
38	1.341392947
39	1.339197672
40	1.337731017
41	1.336826988
42	1.334791865
43	1.333560473
44	1.33258375
45	1.331191978
46	1.329883627
47	1.328416364
48	1.327409915
49	1.32675526
50	1.326006465
51	1.324276645
52	1.323536829
53	1.322407404
54	1.321311689
55	1.320353631
56	1.319159598
57	1.318393691
58	1.317463964
59	1.316395784
60	1.315710209
61	1.314649184
62	1.313451315
63	1.312118799
64	1.310586514
65	1.309390551
66	1.30895243
67	1.307671197
68	1.307084455
69	1.306560148
70	1.305958711
71	1.305409712
72	1.303994953
73	1.30316551
74	1.302408422
75	1.30161006
76	1.299739255
77	1.299353797
78	1.298590104
79	1.29785733
80	1.297456258
81	1.29680288
82	1.29597288
83	1.295490229
84	1.294827401
85	1.294311657
86	1.293780478
87	1.293359139
88	1.292262136
89	1.291099719
90	1.289458965
91	1.288385815
92	1.287985479
93	1.287710604
94	1.287370264
95	1.287013358
96	1.286726939
97	1.286174694
98	1.285795058
99	1.285473465
100	1.284754388
101	1.284344089
102	1.284077611
103	1.283688003
104	1.283377402
105	1.282428881
106	1.282169087
107	1.281734191
108	1.281423714
109	1.281195449
110	1.280805145
111	1.279742905
112	1.279616897
113	1.278811315
114	1.278241098
115	1.27676117
116	1.276029989
117	1.275518122
118	1.27524588
119	1.274966237
120	1.274531804
121	1.27419232
122	1.273435187
123	1.272903094
124	1.272107447
125	1.271261302
126	1.270723922
127	1.270396131
128	1.270205444
129	1.269969664
130	1.269431703
131	1.268749874
132	1.268583127
133	1.268362178
134	1.267985026
135	1.267530732
136	1.265914815
137	1.265645816
138	1.265509208
139	1.265316938
140	1.265038088
141	1.264537193
142	1.264169829
143	1.263420079
144	1.262686545
145	1.262400963
146	1.261775778
147	1.261266601
148	1.260991853
149	1.260779665
150	1.260503673
151	1.259538633
152	1.259271069
153	1.258409268
154	1.25807913
155	1.257741323
156	1.256635006
157	1.256305196
158	1.255950753
159	1.254959633
160	1.254771382
161	1.254313292
162	1.253546579
163	1.253339528
164	1.252716383
165	1.252341144
166	1.252198301
167	1.251590856
168	1.251254545
169	1.250898766
170	1.250491531
171	1.249871624
172	1.249497651
173	1.248116891
