iter	Passed	Remaining
0	2	2363
1	5	2538
2	8	2830
3	11	2978
4	16	3321
5	19	3215
6	22	3151
7	28	3542
8	32	3559
9	34	3434
10	37	3400
11	43	3603
12	47	3630
13	50	3546
14	52	3478
15	56	3461
16	59	3420
17	62	3419
18	65	3371
19	67	3316
20	71	3318
21	77	3456
22	80	3431
23	83	3408
24	88	3464
25	93	3515
26	97	3498
27	99	3462
28	103	3464
29	106	3429
30	109	3409
31	111	3376
32	113	3332
33	115	3281
34	118	3258
35	120	3218
36	122	3179
37	124	3151
38	126	3115
39	128	3080
40	130	3050
41	133	3047
42	136	3030
43	138	3010
44	141	2994
45	143	2980
46	146	2964
47	150	2975
48	152	2960
49	154	2941
50	157	2936
51	159	2915
52	162	2898
53	165	2892
54	167	2874
55	169	2864
56	172	2860
57	175	2843
58	176	2820
59	179	2804
60	181	2787
61	183	2769
62	185	2754
63	188	2763
64	192	2761
65	193	2743
66	197	2752
67	200	2747
68	204	2753
69	206	2746
70	208	2734
71	211	2728
72	213	2716
73	216	2712
74	219	2705
75	221	2695
76	223	2682
77	227	2683
78	229	2671
79	231	2662
80	234	2658
81	236	2646
82	238	2631
83	239	2616
84	242	2613
85	244	2598
86	246	2587
87	248	2578
88	250	2567
89	252	2554
90	254	2540
91	256	2529
92	258	2524
93	261	2517
94	263	2511
95	266	2509
96	268	2501
97	271	2496
98	274	2495
99	276	2488
100	279	2484
101	281	2481
102	284	2475
103	286	2469
104	289	2469
105	291	2462
106	294	2458
107	297	2458
108	299	2451
109	302	2443
110	304	2440
111	307	2437
112	309	2431
113	312	2428
114	314	2422
115	317	2418
116	319	2412
117	322	2407
118	324	2402
119	327	2401
120	329	2396
121	332	2391
122	334	2384
123	337	2382
124	339	2378
125	342	2374
126	344	2370
127	347	2366
128	349	2360
129	352	2358
130	354	2352
131	356	2347
132	359	2343
133	362	2340
134	364	2335
135	366	2330
136	369	2326
137	371	2318
138	373	2312
139	375	2307
140	378	2303
141	380	2299
142	383	2296
143	385	2293
144	388	2290
145	391	2289
146	393	2283
147	396	2279
148	398	2277
149	400	2272
150	403	2267
151	405	2264
152	408	2262
153	410	2257
154	413	2252
155	416	2250
156	418	2245
157	420	2242
158	423	2239
159	425	2235
160	428	2231
161	430	2227
162	434	2231
163	437	2230
164	440	2228
165	443	2227
166	447	2232
167	450	2230
168	452	2226
169	455	2222
170	457	2217
171	460	2216
172	462	2212
173	465	2208
174	467	2205
175	470	2202
176	472	2196
177	474	2192
178	477	2189
179	479	2186
180	482	2182
181	485	2180
182	488	2178
183	490	2175
184	493	2172
185	495	2168
186	497	2163
187	499	2158
188	501	2152
189	504	2149
190	507	2148
191	509	2144
192	511	2140
193	514	2138
194	517	2136
195	519	2132
196	522	2128
197	525	2127
198	527	2122
199	530	2120
200	532	2116
201	534	2112
202	537	2109
203	540	2108
204	542	2103
205	545	2100
206	547	2099
207	550	2097
208	554	2096
209	556	2092
210	558	2089
211	561	2087
212	564	2085
213	567	2083
214	569	2079
215	572	2078
216	575	2076
217	578	2074
218	580	2071
219	583	2068
220	586	2067
221	588	2063
222	591	2059
223	594	2058
224	596	2056
225	599	2052
226	602	2052
227	605	2049
228	607	2045
229	609	2042
230	611	2037
231	613	2031
232	615	2027
233	618	2024
234	621	2021
235	623	2017
236	625	2014
237	628	2011
238	630	2008
239	633	2007
240	636	2004
241	639	2002
242	641	1999
243	644	1997
244	647	1994
245	650	1993
246	653	1990
247	655	1988
248	658	1985
249	660	1982
250	663	1978
251	666	1977
252	668	1974
253	671	1971
254	673	1967
255	675	1963
256	677	1958
257	680	1957
258	682	1953
259	684	1948
260	687	1946
261	690	1944
262	692	1941
263	696	1942
264	699	1941
265	703	1940
266	707	1942
267	710	1939
268	713	1938
269	715	1935
270	718	1932
271	721	1930
272	723	1926
273	725	1923
274	728	1921
275	731	1918
276	733	1914
277	736	1911
278	738	1908
279	740	1903
280	742	1898
281	744	1894
282	745	1889
283	747	1885
284	749	1880
285	752	1877
286	754	1873
287	756	1870
288	759	1867
289	761	1863
290	763	1860
291	766	1859
292	770	1858
293	772	1855
294	776	1855
295	779	1853
296	782	1852
297	785	1849
298	787	1846
299	791	1846
300	793	1843
301	795	1839
302	798	1836
303	800	1833
304	803	1829
305	804	1825
306	807	1822
307	809	1818
308	811	1814
309	814	1811
310	816	1808
311	818	1805
312	821	1802
313	824	1800
314	826	1798
315	829	1795
316	832	1792
317	834	1789
318	836	1786
319	839	1783
320	842	1781
321	844	1778
322	847	1775
323	849	1773
324	852	1770
325	854	1767
326	856	1763
327	858	1759
328	860	1755
329	862	1751
330	864	1747
331	866	1743
332	868	1740
333	870	1736
334	872	1732
335	875	1730
336	878	1728
337	881	1726
338	885	1726
339	889	1726
340	894	1727
341	896	1725
342	904	1732
343	909	1735
344	912	1732
345	915	1730
346	918	1729
347	920	1725
348	922	1721
349	924	1717
350	928	1716
351	929	1711
352	932	1709
353	935	1706
354	939	1707
355	943	1707
356	946	1704
357	950	1703
358	953	1701
359	956	1701
360	959	1698
361	1135	2001
362	1155	2027
363	1157	2022
364	1160	2018
365	1162	2013
366	1165	2009
367	1170	2009
368	1174	2008
369	1179	2007
370	1183	2005
371	1188	2006
372	1192	2005
373	1197	2003
374	1200	2001
375	1205	1999
376	1213	2005
377	1221	2009
378	1231	2017
379	1279	2087
380	1282	2084
381	1285	2079
382	1287	2074
383	1290	2069
384	1292	2064
385	1294	2059
386	1297	2055
387	1300	2051
388	1302	2045
389	1305	2041
390	1308	2037
391	1310	2032
392	1313	2027
393	1315	2023
394	1317	2018
395	1320	2014
396	1323	2009
397	1326	2005
398	1329	2001
399	1333	2000
400	1337	1997
401	1340	1993
402	1343	1990
403	1346	1987
404	1349	1982
405	1351	1977
406	1353	1972
407	1356	1967
408	1358	1962
409	1360	1957
410	1362	1952
411	1364	1946
